bbl,address,bldgtype,ess,gfa,numbldgs,eui,energy (kBtu),bin,primary_type,other_types_dict, electricity , natural_gas , steam , fuel_4 , fuel_2 , elec kbtu , gas kbtu , total kbtu , EUI 
3050880006,164 Linden Blvd,Multifamily Housing,,59400,1,138.1,8205891.4,3116809,Multifamily Housing,"{'Multifamily Housing': 57600.0, 'Other': 1200.0, 'Supermarket/Grocery': 600.0}"," 978,977 "," 4,480,446 ",,,,,,,
3050840042,180 Lenox Rd,Multifamily Housing,59,100186,1,117.6,11783918,3116652,Multifamily Housing,," 1,120,322 "," 7,168,089 ",,,,,,,
3050050026,2047 Nostrand Avenue,Multifamily Housing,70,55065,1,110.8,6102792.1,3113954,Multifamily Housing,," 802,502 "," 3,238,536 ",,,,,,,
3050260257,2100 Westbury Ct,Multifamily Housing,69,82540,1,108.9,8987109.3,3114645,Multifamily Housing,," 893,363 "," 5,367,296 ",,,,,,,
3050260250,2110 Westbury Ct,Multifamily Housing,,96307,1,125,12039653.1,3114644,Multifamily Housing,"{'Multifamily Housing': 92007.0, 'Medical Office': 1200.0, 'Retail Store': 600.0}"," 1,415,926 "," 6,674,750 ",,,,,,,
3048010037,388 Midwood Street,Multifamily Housing,,109313,1,110.6,12084768,3106932,Multifamily Housing,"{'Multifamily Housing': 103613.0, 'Other': 1200.0, 'Medical Office': 1000.0, 'Supermarket/Grocery': 800.0}"," 1,435,493 "," 6,564,481 ",,,,,,,
3013220046,415 Lefferts Ave,Multifamily Housing,58,125070,1,109.8,13737184.6,3035120,Multifamily Housing,," 2,138,796 "," 5,875,608 ",,,,,,,
3014290017,750-60 Lefferts Ave,Multifamily Housing,81,79541,1,98.3,7821397.3,3038502,Multifamily Housing,," 865,528 "," 4,593,702 ",,,,,,,
2024830015,825 Gerard Ave,Multifamily Housing,30,106615,1,133.1,14188551.5,2002977,Multifamily Housing,," 1,496,037 "," 9,108,933 ",,,,,,,
2024740028,835 Walton Ave,Multifamily Housing,43,92400,1,116.7,10785411.5,2002904,Multifamily Housing,," 953,104 "," 7,141,858 ",,,,,,,
1013820001,857 Fifth Avenue,Multifamily Housing,,76246,1,174,13264419.9,1041199,Multifamily Housing,," 1,831,742 "," 73,400 ",,," 7,411,152 ",,,,
